Category,Skills
Data Science,"Python, Machine Learning, Deep Learning, SQL, R, Statistics, Tableau, Pandas, NumPy, Scikit-learn, TensorFlow, Keras, Git"
HR,"Human Resources, Recruitment, Employee Relations, Payroll, Performance Management, Onboarding, ATS, HRIS, Communication, Interviewing"
Advocate,"Legal Writing, Corporate Law, Litigation, Legal Research, Contract Drafting, Dispute Resolution, Constitutional Law, Negotiation"
Arts,"Graphic Design, Adobe Photoshop, Illustrator, Fine Arts, Creative Writing, UI/UX, Photography, Figma, Drawing, Visual Communication"
Web Designing,"HTML, CSS, JavaScript, Bootstrap, jQuery, WordPress, UI/UX, Figma, Responsive Design, Adobe XD, Web Design"
Mechanical Engineer,"AutoCAD, SolidWorks, Thermodynamics, MATLAB, Fluid Mechanics, CAD, CAM, Project Engineering, Manufacturing, ANSYS"
Sales,"Salesforce, Negotiation, Account Management, Business Development, B2B Sales, Cold Calling, CRM, Lead Generation, Customer Relations"
Health and fitness,"Nutrition, Personal Training, Wellness, Anatomy, Kinesiology, CPR Certified, Fitness Coaching, Diet Planning, Health Education"
Civil Engineer,"AutoCAD, Civil 3D, Structural Analysis, Revit, Project Management, Concrete Design, Estimation, Site Supervision, Surveying"
Java Developer,"Java, Spring Boot, Hibernate, SQL, Microservices, Maven, REST APIs, Git, JUnit, Docker, AWS, Multithreading"
Business Analyst,"Business Analysis, SQL, Agile, Scrum, Requirements Gathering, Jira, Tableau, Power BI, Excel, UML, Process Mapping"
SAP Developer,"SAP ABAP, SAP HANA, SAP ERP, SAP FI/CO, SAP SD, SQL, SAP NetWeaver, Debugging, BAPI, IDoc"
Automation Testing,"Selenium, Java, Python, TestNG, Cucumber, Jenkins, Maven, SQL, Automation Testing, Git, QA, API Testing, Postman"
Electrical Engineering,"MATLAB, Circuit Design, AutoCAD, PLC Programming, Power Systems, Microcontrollers, LabVIEW, Electrical Wiring, Control Systems"
Operations Manager,"Operations Management, Supply Chain, Logistics, Project Management, Process Improvement, Budgeting, Leadership, Vendor Management"
Python Developer,"Python, Django, Flask, FastAPI, SQL, PostgreSQL, REST APIs, Git, Docker, Pandas, AWS, Object Oriented Programming"
DevOps Engineer,"Docker, Kubernetes, AWS, Jenkins, Linux, CI/CD, Git, Terraform, Ansible, Python, Bash, Shell Scripting, Monitoring"
Network Security Engineer,"Cisco, Networking, Firewall, Cybersecurity, TCP/IP, VPN, Wireshark, Information Security, Routing & Switching, Active Directory"
PMO,"Project Management, Agile, Scrum, MS Project, Budgeting, Risk Management, PMO Governance, Stakeholder Management, Reporting"
Database,"SQL, Oracle Database, SQL Server, MySQL, Database Administration, Performance Tuning, Backup & Recovery, ETL, PL/SQL"
Hadoop,"Hadoop, MapReduce, HDFS, Apache Spark, Hive, Pig, Big Data, Scala, Python, NoSQL, Linux"
ETL Developer,"ETL, Informatica, SQL, Data Warehousing, SSIS, Talend, PL/SQL, Data Integration, Star Schema, Database Design"
DotNet Developer,"C#, .NET Core, ASP.NET MVC, SQL Server, Entity Framework, Web API, JavaScript, Git, IIS, REST APIs"
Blockchain,"Blockchain, Solidity, Smart Contracts, Ethereum, Cryptography, Go, Rust, Web3.js, Hyperledger, Node.js"
Testing,"Manual Testing, Software Development Life Cycle, Test Cases, Bug Tracking, QA, Jira, Test Planning, Regression Testing"
